title,tags
Junior Delivery Engineer  NOWA, Data |  Python |  SQL |  Database
Junior Python Software Engineer for Big Data,Databricks | Azure Event Hub | Azure Pipelines | Azure Data Factory | Python | Spark 3 | Delta Lake
Junior Data Engineer - Data Scientist,Python | R | SQL
Junior Python Software Engineer for Big Data,Databricks | Azure Event Hub | Azure Pipelines | Azure Data Factory | Python | Spark 3 | Delta Lake
Sports Data Strategist with German - Internship Program (She/He/They),Python
Junior Data Engineer - Data Scientist,Python | R | SQL
💸 Business Analyst / Jr Associate in the Pricing World 💸,Problem solving | Microsoft Office Excel | Microsoft Office PowerPoint
Specjalista ds. generowania leadów,B2B | analiza | content marketing
Analityk,SQL | Microsoft Office Excel
💸 Business Analyst / Junior Associate in the Pricing World 💸,badania rynku | Microsoft Office Excel | Microsoft Office PowerPoint
Młodszy Inżynier Danych BI,Big data | T-SQL | SQL
Data Analytics Engineering Trainee,Python | SQL | Relational Databases
Data Software Engineering Program,Scala | Python | Java
Data Analyst,English | MS Excel | Tableau
Fullstack Developer,Python | React | HTML/CSS | Docker | Azure Cloud Services | Terraform | Git | Grafana
Python AI/ML Developer,Python
Data Engineer (AWS & Python),Python | AWS
"Data Engineer (Python, AWS)",SQL | Python | AWS | Kubernetes | Docker
Senior Python Developer,SQL | Agile | Python | PySpark | Hive | Hadoop | CI/CD | Pandas
Senior Data Platform Engineer (Python),AWS | Glue | Athena | PySpark | Python
Senior Data Engineer (DataBricks + SQL + Python),SQL | Python
Senior GenAI ML Engineer (Python / TensorFlow / Cloud),Python | TensorFlow | Cloud
"Fullstack Developer (Python, React) with AI",Python | React.js | AI
Senior Data Engineer (DataBricks + SQL + Python),SQL | Python
"Senior Data Engineer (Python, SQL, AWS)",Python | AWS | SQL | Git | Jenkins
"Lead VP, Financial Engineering (Python Developer)",Java | C++ | Python | C#
"Data Platform Engineer (Python, Java, AWS)",Python | Java | AWS | Kubernetes | Docker | ETL | CI/CD | Hadoop
Senior Python Developer for GenAI,FastAPI | Python | Azure Functions | Azure Storage | OAuth | Docker
Junior Python Software Engineer for Big Data,Databricks | Azure Event Hub | Azure Pipelines | Azure Data Factory | Python | Spark 3 | Delta Lake
Senior Python Developer (AI/ML & Big Data),Python | PySpark | Apache Spark | Apache Airflow | Apache NiFi | TensorFlow | PyTorch | scikit-learn | Kafka | RabbitMQ
Sports Data Strategist with German - Internship Program (She/He/They),Python
ML Applied Researcher,Python
Senior Data Scientist / AI Engineer,Python
Data Engineer (Azure) in Data&AI (She/He/They),Python
Senior Software Engineer in Machine Learning,Python
Data Scientist,Python
Computer Vision Scientist,Python
Data Analyst - Ads Data Team,Python
Senior ML Applied Researcher,Python
Data Engineer,Python | SQL
Software Engineer in Machine Learning,Python
Data Scientist,Python | SQL
Data Scientist (Data Science Hub),SQL | Python
Senior Data Engineer,Python | SQL
Fullstack Data Scientist,Python | SQL
Senior Data Scientist (Ads Machine Learning Team),SQL | Python
Data Engineer,Python | SQL
AI Developer,Java | Python
Analityk Ilościowy,Python | SQL
Data Scientist w Wydziale Hiperpersonalizacji Relacji z Klientem,R | Python
Analytics Engineer,SQL | Python
Inżynier danych,SQL | Python
Data Science Business Unit Leader,R | Python
Risk Modeller for ALM Models,Python | R
Senior AI Engineer,Python | RAG | Microsoft Azure
Data Manager,SQL | R | Python
Junior Data Engineer (Graduade),Python | SQL
Senior AI Engineer / Team Lead,Python | NLP
Senior Data Engineer,SQL | Python
Data Analyst,Python | SQL
Automation and Innovation Specialist (with Data Science & AI),Python | R
Senior QA Engineer - Gen AI,Python | SQL
Team Lead Data Engineering,Python | SQL
Senior Data Scientist Analyst,Python | SQL
Data Engineer,AWS | Python
LLM Developer, AI/ML |  LLM |  RAG |  Python
Senior AI/ML Engineer, AI/ML |  AWS |  Machine learning |  MLOps
Data Engineer (Microsoft Data Lake/Fabric Specialist),Microsoft Data Lake | Microsoft Fabric | Azure Data Factory
Data Engineer,SQL | Snowflake | Python
Principal Machine Learning Engineer (Web & Mobile Business Unit),
Cloud Data Engineer,
LLM DeveloperAI Engineer,Python | LLM | RAG
"Data Engineer with ETL, Informatica and Oracle",ETL | PL/SQL | SAP
Data Scientist,
Machine Learning Engineer (100% remote),Python | SQL
Senior MLOps Engineer,Bash | PowerShell | Python
Senior Data Engineer (Azure),Azure | Docker | Git
Senior GenAI ML Engineer,Python | TensorFlow | Cloud
Data Scientist,Cloud | Azure | AWS
Senior Machine Learning Engineer (LLMs),Python | Machine Learning | NLP
Senior Data Integration Engineer (Databricks),Databricks | AWS | Azure
"Lead Data Software Engineer (Python, Azure)",Python | Azure | Azure Data stack
Senior Applied AI Scientist,NLP | TTS | CV
Senior Data Engineer,Python | SQL | Apache Spark
Senior Machine Learning Engineer,Python | R | Java
[REMOTE] Data Engineer,AWS | Java | SQL
MLOps,Python | SQL
"Senior ETL Engineer (Informatica, Tableau)",Informatica | Tableau | Kafka
Data Software Engineer (Upskilling position for Python Developers),Python | SQL | Azure
Senior Data Engineer (GCP),GCP | Spark | Python
"Lead Data Software Engineer (Java, GCP)",Java | GCP | SQL
Senior Data Integration Engineer (Databricks),SQL | Python | AWS
"Lead Data Software Engineer (Python, Azure)",Python | Azure | Databricks
"Data Engineer, Data Services",AWS | Airflow | Docker
Senior Data Engineer,AWS | Airflow | Docker
Senior Data Engineer,Google Cloud | Python | SQL
Senior Data Engineer,Databricks | ETL | Data Warehousing
Machine Learning Engineer,Python | NLP | AWS
Senior Machine Learning Engineer,Python | Machine Learning | NLP
Senior Prompt Engineer,Python | R | TensorFlow
Manager of Data Infrastructure,SQL | Python | Fivetran
MLOps,Python | SQL
Data Scientist - Yield Management / Price Optimization,SQL | Python | AWS
Inżynier AI,
Cloud Data Engineer –  sektor finansowy,
Data Engineer with GCP,Python | Google Cloud Platform | Airflow
Data Project Analyst,Microsoft Power BI | Business Central 365
Junior Delivery Engineer, Data |  Python |  SQL |  Database
Consultant / Junior Consultant - Data Science & AI,Python | PyTorch | Huggingface
Junior Delivery Engineer,SQL | csv | json | xml | tlog | Parquet | Python
Junior Machine Learning Engineer,JavaScript | Python | PostgreSQL | GitLab
Data Analytics Engineering Trainee,SQL | Python
Junior Machine Learning Engineer,JavaScript | Python | PostgreSQL | GitLab
Consultant / Junior Consultant - Data Science & AI,Python | PyTorch | Huggingface
Junior Data Engineer,SQL | Snowflake Data Cloud | Oracle | Python
Junior Delivery Engineer,SQL | csv | json | xml | tlog | Parquet | Python
Specjalista ds. generowania leadów,B2B | analiza | content marketing
Analityk,SQL | Microsoft Office Excel
Data Analytics Engineering Trainee,Relational Databases | SQL | Python
Data Software Engineering Program,Docker | Scala | Python
Junior/Mid Data Scientist (LLM),AI | Python | Machine Learning
Data Analytics Engineering Trainee,Python | SQL | Relational Databases
Data Software Engineering Program,SQL | Java | Kubernetes
Junior/Mid Data Scientist (LLM),LLM | Machine Learning | Python
Data Engineer,Databricks | Azure Cosmos DB | Python | Snowflake Data Cloud | SQL | PowerBI
ML Ops with Azure / Databricks,ML | Python | SQL | Databricks | ML Ops | Microsoft Azure
Data Engineer,Databricks | Azure Cosmos DB | Python | Snowflake Data Cloud | SQL | PowerBI
ML Ops with Azure / Databricks,ML | Python | SQL | Databricks | ML Ops | Microsoft Azure
Data Software Engineering Program,SQL | Docker | DWH
Analytics Graduate - Grad Hiring Program,Business Intelligence | Big Data | Cloud
Data Analytics Engineering Trainee,Relational Databases | SQL | Python
Data Engineer (Power BI),SQL | Python | Microsoft Power BI | Microsoft Azure | Git | SSIS
Data Engineer (Power BI),SQL | Python | Microsoft Power BI | Microsoft Azure | Git | SSIS
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,Microsoft Office Excel | raportowanie | analiza
Data Software Engineering Program,Kubernetes | Linux | SQL
Analytics Graduate - Grad Hiring Program,Data Engineering | DevOps | Cloud
Junior Data Engineer (Power BI),Power BI | ETL/ELT | English
Data Analytics Engineering Trainee,SQL | Relational Databases | Python
Data Software Engineering Program,Docker | Python | DWH
Analytics Graduate - Grad Hiring Program,Data Science | Data Warehouses | Cloud
Junior Data Engineer (Power BI),ETL/ELT | English | Python
Data Analytics Engineering Trainee,Python | SQL | Relational Databases
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,raportowanie | Microsoft Office Excel | analiza
Data Software Engineering Program,Python | Java | Linux
Junior Data Engineer (Power BI),ETL/ELT | Power BI | English
ML Ops Engineer,Microsoft Azure | Python | Databricks | SQL
ML Ops Engineer,Microsoft Azure | Python | Databricks | SQL
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,Microsoft Office Excel | analiza | raportowanie
Data Software Engineering Program,Python | Scala | Docker
Junior AI Developer,AI | Python | Redis
ML Ops Engineer,Azure | Databricks | ML | Python | SQL
Data Software Engineering Program,Scala | DWH | Docker
Junior Data Engineer (Power BI),English | SQL | Power BI
Junior On-Chain Data Product Specialist,Python | MS Excel | SQL
Junior Data Engineer (Power BI),Python | Power BI | ETL/ELT
Junior AI Developer,AI | Redis | SQL
Junior On-Chain Data Product Specialist,Python | SQL | MS Excel
Junior Data Engineer (Power BI),SQL | Power BI | English
ML Ops Engineer,Microsoft Azure | Python | Databricks | SQL
Data Engineer (Power BI),SQL | Python | Microsoft Power BI | Microsoft Azure | Git | SSIS
Data Engineer,Databricks | Azure Cosmos DB | Python | Snowflake Data Cloud | SQL | PowerBI
ML Ops with Azure / Databricks,ML | Python | SQL | Databricks | ML Ops | Microsoft Azure
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,analiza | Microsoft Office Excel | raportowanie
Junior On-Chain Data Product Specialist,SQL | Python | MS Excel
Junior Data Engineer (Power BI),SQL | English | Power BI
Junior On-Chain Data Product Specialist,MS Excel | Python | SQL
Junior Data Engineer (Power BI),ETL/ELT | Power BI | English
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,raportowanie | analiza | Microsoft Office Excel
Junior Data Engineer (Power BI),ETL/ELT | Python | English
Junior AI Developer,AI | SQL | Redis
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,raportowanie | Microsoft Office Excel | analiza
Junior On-Chain Data Product Specialist,Python | MS Excel | SQL
Junior Data Engineer (Power BI),Power BI | SQL | English
Junior AI Developer,AI | Python | SQL
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,Microsoft Office Excel | analiza | raportowanie
Junior On-Chain Data Product Specialist,Python | SQL | MS Excel
Junior Data Engineer (Power BI),ETL/ELT | Power BI | SQL
Junior AI Developer,AI | Python | Redis
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,raportowanie | Microsoft Office Excel | analiza
Junior On-Chain Data Product Specialist,Python | SQL | MS Excel
Junior Data Engineer,AWS | Python
Junior Data Engineer (Power BI),English | ETL/ELT | Power BI
Junior AI Developer,AI | Redis | SQL
Młodsza Specjalistka / Młodszy Specjalista w Zespole Raportowania CC,analiza | Microsoft Office Excel | raportowanie
Junior Data Engineer,Python | AWS
